"Matrícula";"Instituição";"Sexo";"Curso";"Turno";"Turma Atual";"Per. Let. Ingresso"
"20201SEAQUI029";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20161SEAQUI0294";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2016/1"
"20171SEAQUI0029";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2017/1"
"20181SEAQUI0335";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2018/1"
"20151SEAQUI0379";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2015/1"
"20201SEAQUI009";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20151SEAQUI0220";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2015/1"
"20201SEAQUI005";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20191SEAQUI0226";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2019/1"
"20201SEAQUI001";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2020/1"
"20151SEAQUI0085";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2015/1"
"20141SEAQUI0062";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2014/1"
"20201SEAQUI012";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20201SEAQUI011";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20171SEAQUI0061";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2017/1"
"20141SEAQUI0453";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20191.SEAQUI.9";"2014/1"
"20161SEAQUI0332";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2016/1"
"20181SEAQUI0203";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2018/1"
"20161SEAQUI0014";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2016/1"
"20151SEAQUI0360";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2015/1"
"20181SEAQUI0343";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2018/1"
"20171SEAQUI0100";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2017/1"
"20201SEAQUI030";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20161SEAQUI0235";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2016/1"
"20161SEAQUI0251";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2016/1"
"20201SEAQUI020";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";;"2020/1"
"20191SEAQUI0315";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2019/1"
"20191SEAQUI0110";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";;"2019/1"
"20161SEAQUI0022";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";;"2016/1"
"20201SEAQUI031";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20141SEAQUI0445";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";;"2014/1"
"20181SEAQUI0149";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2018/1"
"20191SEAQUI0170";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2019/1"
"20201SEAQUI013";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20181SEAQUI0190";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2018/1"
"20171SEAQUI0185";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2017/1"
"20181SEAQUI0068";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2018/1"
"20161SEAQUI0278";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2016/1"
"20191SEAQUI0242";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2019/1"
"20191SEAQUI0013";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2019/1"
"20201SBCB014";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20191SBCB0150";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Noturno";"20202.SLBIO.6";"2019/1"
"20201SBCB015";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20201SBCB011";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";;"2020/1"
"20201SBCB013";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20191SBCB0257";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2019/1"
"20181SBCB0178";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20191SBCB0273";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2019/1"
"20181SBCB0127";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2018/1"
"20181SBCB0038";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20181SBCB0089";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20201SBCB002";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Noturno";"20202.SLBIO.8";"2020/1"
"20191SBCB0265";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2019/1"
"20201SBCB009";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20181SBCB0054";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20151SBCB0068";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Vespertino";;"2015/1"
"20181SBCB0135";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2018/1"
"20181SBCB0224";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20201SBCB003";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20181SBCB0119";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2018/1"
"20191SBCB0141";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Noturno";"20202.SLBIO.6";"2019/1"
"20171SBCB0242";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SLBIO.2";"2017/1"
"20201SBCB001";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20171SBCB0080";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20181.SBCB.9";"2017/1"
"20201SBCB005";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20171SBCB0099";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";;"2017/1"
"20181SBCB0046";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20151SBCB0122";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Vespertino";;"2015/1"
"20192SBCB0001";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";;"2019/2"
"20191SBCB0206";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2019/1"
"20201SBCB004";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20181SBCB0070";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20201SBCB006";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20191SBCB0214";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2019/1"
"20181SBCB0097";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2018/1"
"20161SBCB0155";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Diurno";;"2016/1"
"20171SBCB0161";"Campus de Alegre";"M";"Bacharelado em Ciências Biológicas ";"Integral";;"2017/1"
"20201SBCB007";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20201SBCB010";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20171SBCB0196";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2017/1"
"20191SBCB0230";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";;"2019/1"
"20201SBCB012";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20201SBCB008";"Campus de Alegre";"F";"Bacharelado em Ciências Biológicas ";"Integral";"20202.SBCB.10";"2020/1"
"20181SLBIO0435";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";;"2018/1"
"20171SLBIO0276";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20171SLBIO0001";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20181SLBIO0087";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20201SLBIO016";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20171SLBIO0136";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20201SLBIO012";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20191SLBIO0122";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20201SLBIO032";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20171SLBIO0306";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20171SLBIO0381";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20181SLBIO0010";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";;"2018/1"
"20181SLBIO0206";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20171SLBIO0330";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20201SLBIO014";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20151SLBIO0115";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2015/1"
"20191SLBIO0130";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20201SLBIO020";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20191SLBIO0114";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20181SLBIO0303";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20192SLBIO0001";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2019/2"
"20161SLBIO0180";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SBCB.10";"2016/1"
"20171SLBIO0144";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20181SLBIO0575";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20201SLBIO015";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20171SLBIO0160";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2017/1"
"20201SLBIO013";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20201SLBIO019";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";;"2020/1"
"20161SLBIO0120";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SBCB.10";"2016/1"
"20181SLBIO0567";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20201SLBIO006";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20191SLBIO0360";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20191SLBIO0408";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20161SLBIO0414";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2016/1"
"20161SLBIO0023";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2016/1"
"20201SLBIO029";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20161SLBIO0422";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";;"2016/1"
"20181SLBIO0184";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20201SLBIO021";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20201SLBIO038";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";;"2020/1"
"20191SLBIO0300";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20191SLBIO0254";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20191SLBIO0246";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20201SLBIO024";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";;"2020/1"
"20161SLBIO0104";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2016/1"
"20201SLBIO007";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20192SLBIO0002";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/2"
"20171SLBIO0128";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20152SLBIO0016";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2015/2"
"20161SLBIO0001";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SBCB.10";"2016/1"
"20191SLBIO0394";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20201SLBIO035";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20171SLBIO0217";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20161SLBIO0325";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2016/1"
"20201SLBIO039";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20201.SLBIO.1";"2020/1"
"20161SLBIO0449";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SBCB.10";"2016/1"
"20201SLBIO005";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20181SLBIO0362";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20171SLBIO0233";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20191SLBIO0017";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20161SLBIO0112";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2016/1"
"20161SLBIO0228";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";;"2016/1"
"20161SLBIO0309";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SBCB.10";"2016/1"
"20201SLBIO017";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20191SLBIO0033";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
"20201SLBIO002";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20201SLBIO004";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20162SLBIO0021";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2016/2"
"20181SLBIO0109";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20182SLBIO0034";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/2"
"20161SLBIO0155";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2016/1"
"20191SLBIO0068";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";;"2019/1"
"20201SLBIO010";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20191SLBIO0211";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Integral";;"2019/1"
"20171SLBIO0063";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20171SLBIO0349";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20181SLBIO0354";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20181SLBIO0427";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20151SLBIO0123";"Campus de Alegre";"M";"Licenciatura em Ciências Biológicas";"Noturno";;"2015/1"
"20181SLBIO0338";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20181SLBIO0192";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20201SLBIO026";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20201SLBIO018";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.2";"2020/1"
"20182SLBIO0026";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/2"
"20181SLBIO0230";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.6";"2018/1"
"20171SLBIO0373";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Noturno";"20202.SLBIO.8";"2017/1"
"20191SLBIO0343";"Campus de Alegre";"F";"Licenciatura em Ciências Biológicas";"Integral";"20202.SLBIO.4";"2019/1"
